Book,Author,Original Language,First Published,Approximate Sales,Genre
The Hunger Games,Suzanne Collins,English,2008,29 million in US,"Young adult fiction
"
James and the Giant Peach,Roald Dahl,English,1961,28 million,Children's literature
The Young Guard,Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR,"
"
Who Moved My Cheese?,Spencer Johnson,English,1998,26 million,"
"
A Brief History of Time,Stephen Hawking,English,1988,25 million,"Popular science
"
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million,"
"
Lust for Life,Irving Stone,English,1934,25 million,"
"
The Wind in the Willows,Kenneth Grahame,English,1908,25 million,Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million,"
"
Virgin Soil Upturned,Mikhail Sholokhov,Russian,1935,24 million copies in USSR,"
"
The Celestine Prophecy,James Redfield,English,1993,23 million,"
"
The Fault in Our Stars,John Green,English,2012,23 million,"
"
The Girl on the Train,Paula Hawkins,"English
","2015
",23 million,"
"
The Shack,William P. Young,English,2007,22 million,"
"
Uncle Styopa,Sergey Mikhalkov,Russian,1936,21 million copies in USSR,"
"
The Godfather,Mario Puzo,English,1969,21 million,"
"
Love Story,Erich Segal,"English
","1970
",21 million,"
"
Catching Fire,Suzanne Collins,English,2009,21 million in US,"
"
Mockingjay,Suzanne Collins,English,2010,20 million in US,"
"
Kitchen,Banana Yoshimoto,Japanese,1988,20 million ,"
"
Andromeda Nebula,Ivan Yefremov,Russian,1957,20 million,"
"
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20 million,"
"
Gone Girl,Gillian Flynn,"English
","2012
",20 million,"
"
All Quiet on the Western Front,Erich Maria Remarque,"German
","1929
",20 million,"
"
The Bermuda Triangle,Charles Berlitz,English,1974,20 million,"
"
Things Fall Apart,Chinua Achebe,English,1958,20 million,"
"
Animal Farm,George Orwell,English,1945,20 million,"
"
Wolf Totem,Jiang Rong,Chinese,2004,20 million,"
"
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million,"
"
Jaws,Peter Benchley,English,1974,20 million,"
"
Love You Forever,Robert Munsch,English,1986,20 million,"
"
The Women's Room,Marilyn French,English,1977,20 million,"
"
What to Expect When You're Expecting,Arlene Eisenberg,English,1984,20 million,"
"
Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million,"
"
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million,"
"
Pride and Prejudice,Jane Austen,English,1813,20 million,"
"
Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl,Norwegian,1950,20 million,"
"
The Good Soldier Švejk,Jaroslav Hašek,Czech,1923,20 million (printed),"
"
Where the Wild Things Are,Maurice Sendak,English,1963,20 million,"
"
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million,"
"
The Secret,Rhonda Byrne,English,2006,20 million,"
"
Fear of Flying,Erica Jong,English,1973,20 million,"
"
Dune,Frank Herbert,English,1965,20 million,"
"
Charlie and the Chocolate Factory,Roald Dahl,"English
","1964
",20 million,"
"
The Naked Ape,Desmond Morris,"English
","1968
",20 million,"
"
